Tipo,DIRECCION,Supervisor / Distrito,Positivas,Negativas
DIRECCION,CENTRO,Supervisor 2 / Distrito 1,5,8
DIRECCION,CENTRO,Supervisor 6 / Distrito 2,7,6
DIRECCION,CENTRO,Supervisor 3 / Distrito 3,5,9
DIRECCION,CENTRO,Supervisor 8 / Distrito 4,5,9
DIRECCION,CENTRO,Supervisor 1 / Distrito 5,10,5
DIRECCION,CENTRO,Supervisor 4 / Distrito 6,7,8
DIRECCION,CENTRO,Supervisor 9 / Distrito 7,5,10
DIRECCION,CENTRO,Supervisor 10 / Distrito 8,6,9
DIRECCION,CENTRO,Supervisor 5 / Distrito 9,7,9
DIRECCION,CENTRO,Supervisor 7 / Distrito 10,6,10
DIRECCION,NORTE-NORESTE,Supervisor 5 / Distrito 1,6,5
DIRECCION,NORTE-NORESTE,Supervisor 3 / Distrito 2,7,5
DIRECCION,NORTE-NORESTE,Supervisor 8 / Distrito 3,7,5
DIRECCION,NORTE-NORESTE,Supervisor 9 / Distrito 4,7,5
DIRECCION,NORTE-NORESTE,Supervisor 6 / Distrito 5,10,5
DIRECCION,NORTE-NORESTE,Supervisor 1 / Distrito 6,9,7
DIRECCION,NORTE-NORESTE,Supervisor 2 / Distrito 7,8,8
DIRECCION,NORTE-NORESTE,Supervisor 7 / Distrito 8,7,9
DIRECCION,NORTE-NORESTE,Supervisor 10 / Distrito 9,8,9
DIRECCION,NORTE-NORESTE,Supervisor 4 / Distrito 10,8,10
DIRECCION,OCCIDENTE-BAJIO,Supervisor 1 / Distrito 1,7,5
DIRECCION,OCCIDENTE-BAJIO,Supervisor 6 / Distrito 2,7,5
DIRECCION,OCCIDENTE-BAJIO,Supervisor 2 / Distrito 3,6,7
DIRECCION,OCCIDENTE-BAJIO,Supervisor 4 / Distrito 4,5,9
DIRECCION,OCCIDENTE-BAJIO,Supervisor 8 / Distrito 5,5,9
DIRECCION,OCCIDENTE-BAJIO,Supervisor 3 / Distrito 6,10,5
DIRECCION,OCCIDENTE-BAJIO,Supervisor 7 / Distrito 7,10,5
DIRECCION,OCCIDENTE-BAJIO,Supervisor 5 / Distrito 8,6,10
DIRECCION,OCCIDENTE-BAJIO,Supervisor 10 / Distrito 9,8,10
DIRECCION,OCCIDENTE-BAJIO,Supervisor 9 / Distrito 10,9,10
DIRECCION,ORIENTE-SUR,Supervisor 3 / Distrito 1,7,7
DIRECCION,ORIENTE-SUR,Supervisor 6 / Distrito 2,5,10
DIRECCION,ORIENTE-SUR,Supervisor 9 / Distrito 3,9,6
DIRECCION,ORIENTE-SUR,Supervisor 1 / Distrito 4,7,9
DIRECCION,ORIENTE-SUR,Supervisor 5 / Distrito 5,6,10
DIRECCION,ORIENTE-SUR,Supervisor 4 / Distrito 6,7,10
DIRECCION,ORIENTE-SUR,Supervisor 7 / Distrito 7,8,9
DIRECCION,ORIENTE-SUR,Supervisor 8 / Distrito 8,7,10
DIRECCION,ORIENTE-SUR,Supervisor 10 / Distrito 9,9,8
DIRECCION,ORIENTE-SUR,Supervisor 2 / Distrito 10,10,9
NACIONAL,NACIONAL,Supervisor 5 / Distrito 1,6,5
NACIONAL,NACIONAL,Supervisor 14 / Distrito 2,6,7
NACIONAL,NACIONAL,Supervisor 2 / Distrito 3,6,8
NACIONAL,NACIONAL,Supervisor 4 / Distrito 4,5,9
NACIONAL,NACIONAL,Supervisor 7 / Distrito 5,7,7
NACIONAL,NACIONAL,Supervisor 9 / Distrito 6,8,6
NACIONAL,NACIONAL,Supervisor 15 / Distrito 7,5,9
NACIONAL,NACIONAL,Supervisor 1 / Distrito 8,5,10
NACIONAL,NACIONAL,Supervisor 11 / Distrito 9,10,5
NACIONAL,NACIONAL,Supervisor 12 / Distrito 10,7,8
NACIONAL,NACIONAL,Supervisor 13 / Distrito 11,10,5
NACIONAL,NACIONAL,Supervisor 8 / Distrito 12,6,10
NACIONAL,NACIONAL,Supervisor 10 / Distrito 13,10,6
NACIONAL,NACIONAL,Supervisor 3 / Distrito 14,9,8
NACIONAL,NACIONAL,Supervisor 6 / Distrito 15,10,7
