DIRECCION,PLAZA,DISTRITO
CENTRO-SUR,CIUDAD DE MEXICO,TULTEPEC
CENTRO-SUR,CIUDAD DE MEXICO,NUEVA CONDESA
CENTRO-SUR,CIUDAD DE MEXICO,SANTA FE
CENTRO-SUR,CIUDAD DE MEXICO,TULTITLAN
CENTRO-SUR,CIUDAD DE MEXICO,TLALPAN
CENTRO-SUR,CIUDAD DE MEXICO,XOCHIMILCO
CENTRO-SUR,CIUDAD DE MEXICO,CENTRO HISTORICO
CENTRO-SUR,CIUDAD DE MEXICO,ARAGON
CENTRO-SUR,CIUDAD DE MEXICO,GUADALUPE TEPEYAC
CENTRO-SUR,CIUDAD DE MEXICO,CHALCO
CENTRO-SUR,CIUDAD DE MEXICO,LAS AGUILAS
CENTRO-SUR,CIUDAD DE MEXICO,IZTAPALAPA
CENTRO-SUR,CIUDAD DE MEXICO,TECAMAC
CENTRO-SUR,CIUDAD DE MEXICO,AEROPUERTO
CENTRO-SUR,CIUDAD DE MEXICO,NICOLAS ROMERO
CENTRO-SUR,CIUDAD DE MEXICO,COACALCO
CENTRO-SUR,CIUDAD DE MEXICO,TEXCOCO
CENTRO-SUR,CIUDAD DE MEXICO,NEZA 2
CENTRO-SUR,CIUDAD DE MEXICO,POLANCO
CENTRO-SUR,CIUDAD DE MEXICO,HUEHUETOCA
CENTRO-SUR,CIUDAD DE MEXICO,PORTALES
CENTRO-SUR,CIUDAD DE MEXICO,PEDREGAL
CENTRO-SUR,CIUDAD DE MEXICO,ECATEPEC
CENTRO-SUR,CIUDAD DE MEXICO,NEZA 1
CENTRO-SUR,CIUDAD DE MEXICO,CONSTITUCION
CENTRO-SUR,CIUDAD DE MEXICO,NAUCALPAN
CENTRO-SUR,CIUDAD DE MEXICO,AZCAPOTZALCO
CENTRO-SUR,CIUDAD DE MEXICO,LOS REYES
CENTRO-SUR,CIUDAD DE MEXICO,SATELITE
CENTRO-SUR,CIUDAD DE MEXICO,TLALNEPANTLA
CENTRO-SUR,CIUDAD DE MEXICO,OJO DE AGUA
CENTRO-SUR,TOLUCA,TOL LERMA SAN MATEO
CENTRO-SUR,TOLUCA,TOL SAN CARLOS
CENTRO-SUR,TOLUCA,TOL METEPEC
CENTRO-SUR,PUEBLA,PUE ANGELOPOLIS
CENTRO-SUR,PUEBLA,PUE LA NORIA
CENTRO-SUR,PUEBLA,PUE LORETO
CENTRO-SUR,CANCUN,CANCUN
CENTRO-SUR,CUERNAVACA,CUERNAVACA BUGAMBILIAS
CENTRO-SUR,CUERNAVACA,CUERNAVACA DE CORTEZ
CENTRO-SUR,TUXTLA,TUXTLA
CENTRO-SUR,MERIDA,MERIDA SUR
CENTRO-SUR,MERIDA,MERIDA NORTE
CENTRO-SUR,VERACRUZ,VERACRUZ
CENTRO-SUR,PACHUCA,PACHUCA
CENTRO-SUR,XALAPA,XALAPA
CENTRO-SUR,VILLAHERMOSA,VILLAHERMOSA
CENTRO-SUR,COATZA / MINA,COATZA / MINA
CENTRO-SUR,CORDOBA / ORIZABA,CORDOBA / ORIZABA
CENTRO-SUR,ACAPULCO,ACAPULCO
CENTRO-SUR,POZA RICA,POZA RICA
NORTE-NORESTE,CIUDAD JUAREZ,JUAREZ NORTE
NORTE-NORESTE,CIUDAD JUAREZ,JUAREZ SUR
NORTE-NORESTE,MONTERREY,MTY CARRETERA NACIONAL
NORTE-NORESTE,MONTERREY,MTY SENDERO DIVISORIO
NORTE-NORESTE,MONTERREY,MTY SANTA LUCIA
NORTE-NORESTE,MONTERREY,MTY MITRAS
NORTE-NORESTE,MONTERREY,MTY CERRO DE LA SILLA
NORTE-NORESTE,MONTERREY,MTY AEROPUERTO
NORTE-NORESTE,MONTERREY,MTY SIERRA MADRE
NORTE-NORESTE,MONTERREY,MTY GARCIA
NORTE-NORESTE,SAN LUIS POTOSI,SAN LUIS POTOSI PONIENTE
NORTE-NORESTE,SAN LUIS POTOSI,SAN LUIS POTOSI ORIENTE
NORTE-NORESTE,TIJUANA,TIJ FRONTERA
NORTE-NORESTE,TIJUANA,TIJ TECATE
NORTE-NORESTE,TIJUANA,TIJ RIO
NORTE-NORESTE,TIJUANA,TIJ PLAYAS
NORTE-NORESTE,TAMPICO,TAMPICO
NORTE-NORESTE,SALTILLO,SALTILLO
NORTE-NORESTE,CHIHUAHUA,CHIHUAHUA DEL RELIZ
NORTE-NORESTE,CHIHUAHUA,CHIHUAHUA CUMBRES
NORTE-NORESTE,CULIACAN,CULIACAN
NORTE-NORESTE,CULIACAN,LOS MOCHIS
NORTE-NORESTE,TORREON,LA LAGUNA TORREON
NORTE-NORESTE,TORREON,LA LAGUNA GOMEZ
NORTE-NORESTE,MEXICALI,MEXICALI
NORTE-NORESTE,HERMOSILLO,HERMOSILLO
NORTE-NORESTE,MAZATLAN,MAZATLAN
NORTE-NORESTE,CIUDAD OBREGON / NAVOJOA,CIUDAD OBREGON / NAVOJOA
NORTE-NORESTE,REYNOSA,REYNOSA
